,Ljava/lang/Object;-><init>,Ljava/lang/StringBuilder;->append,Ljava/lang/StringBuilder;->toString,Ljava/lang/StringBuilder;-><init>,Landroid/app/Activity;-><init>,Landroid/app/Activity;->onCreate,Landroid/content/Intent;-><init>,Ljava/lang/String;->equals,Landroid/content/BroadcastReceiver;-><init>,Ljava/lang/String;->valueOf,Ljava/lang/String;->substring,Ljava/lang/Integer;->parseInt,Landroid/net/Uri;->parse,Ljava/util/ArrayList;-><init>,Ljava/lang/String;-><init>,Landroid/content/Context;->getSystemService,Landroid/content/Intent;->getAction,Ljava/lang/Thread;-><init>,Ljava/lang/String;->length,Ljava/lang/Integer;->valueOf,Ljava/util/Iterator;->next,Ljava/util/Iterator;->hasNext,Ljava/lang/System;->currentTimeMillis,Landroid/content/Intent;->putExtra,Ljava/io/InputStreamReader;-><init>,Landroid/content/IntentFilter;-><init>,Landroid/widget/TextView;->setText,Landroid/content/Context;->getResources,Ljava/util/HashMap;-><init>,Ljava/io/BufferedReader;-><init>,Ljava/lang/Boolean;->valueOf,Ljava/io/BufferedReader;->readLine,Ljava/io/File;-><init>,Ljava/util/List;->add,Landroid/content/Context;->getPackageName,Ljava/io/FileOutputStream;-><init>,Ljava/lang/Object;->getClass,Ljava/io/InputStream;->close,Ljava/util/ArrayList;->add,Landroid/content/Context;->startActivity,Landroid/content/SharedPreferences$Editor;->commit,Ljava/io/File;->exists,Ljava/io/InputStream;->read,Landroid/os/Handler;-><init>,Ljava/lang/String;->startsWith,Ljava/lang/Integer;->intValue,Landroid/content/Intent;->getStringExtra,Ljava/util/ArrayList;->size,Ljava/lang/String;->indexOf,Landroid/content/Context;->getPackageManager,Landroid/util/Log;->d,Landroid/util/Log;->e,Landroid/content/SharedPreferences;->edit,Ljava/lang/String;->split,Ljava/lang/String;->charAt,Ljava/lang/Thread;->start,Landroid/content/Intent;->setAction,Ljava/lang/Object;->toString,Ljava/io/File;->delete,Landroid/content/Context;->getContentResolver,Ljava/util/List;->size,Ljava/lang/Exception;->printStackTrace,Ljava/lang/reflect/Method;->invoke,Ljava/util/ArrayList;->iterator,Ljava/util/List;->get,Ljava/lang/Thread;->sleep,Landroid/content/SharedPreferences$Editor;->putString,Landroid/content/Intent;->addFlags,Landroid/content/SharedPreferences;->getString,Landroid/app/Activity;->onResume,Landroid/app/PendingIntent;->getActivity,Ljava/util/HashMap;->put,Ljava/lang/String;->lastIndexOf,Ljava/net/URL;-><init>,Ljava/io/FileOutputStream;->close,Ljava/util/ArrayList;->get,Landroid/app/Notification;-><init>,Ljava/util/HashMap;->get,Landroid/content/Intent;->getExtras,Landroid/content/Context;->getSharedPreferences,Landroid/widget/Toast;->makeText,Landroid/widget/Toast;->show,Landroid/os/Handler;->post,Ljava/lang/String;->replace,Ljava/io/FileInputStream;-><init>,Ljava/lang/String;->endsWith,Ljava/lang/String;->getBytes,Ljava/lang/Class;->getName,Ljava/io/BufferedReader;->close,Landroid/app/Activity;->onDestroy,Ljava/lang/IllegalArgumentException;-><init>,Ljava/lang/String;->equalsIgnoreCase,Landroid/content/Context;->getApplicationContext,Landroid/util/Log;->w,Landroid/widget/Button;->setOnClickListener,Ljava/lang/Object;->equals,Landroid/os/Bundle;->getString,Ljava/lang/System;->arraycopy,Landroid/app/NotificationManager;->notify,Landroid/os/Bundle;->get
Ljava/lang/Object;-><init>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ljava/lang/StringBuilder;->append,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljava/lang/StringBuilder;->toString,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljava/lang/StringBuilder;-><init>,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landroid/app/Activity;-><init>,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Landroid/app/Activity;->onCreate,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Landroid/content/Intent;-><init>,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljava/lang/String;->equals,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Landroid/content/BroadcastReceiver;-><init>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljava/lang/String;->valueOf,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
